OBSERVATION_ID,OBSERVATION_DATE,OBSERVATION_YEAR,OBSERVATION_MONTH,DAY_OF_YEAR,SPECIES_ID,COMMON_NAME,SCIENTIFIC_NAME,PLANT_GROUP,PHENOPHASE_NAME,PHENOPHASE_ID,OBSERVATION_TYPE,OBSERVATION_COMMENT,LATITUDE,LONGITUDE,SITE_ID,SITE_NAME,SITE_CITY,SITE_STATE,SITE_COMMENT,OBSERVER_ID
29464,2014-04-01,2014,4,091,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11957,My House,Frederick,CO,,21335
29465,2014-04-01,2014,4,091,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11957,My House,Frederick,CO,,21335
29466,2014-04-01,2014,4,091,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11957,My House,Frederick,CO,,21335
29467,2014-04-03,2014,4,093,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11958,My House,Frederick,CO,,21335
29468,2014-04-03,2014,4,093,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11958,My House,Frederick,CO,,21335
29469,2014-04-03,2014,4,093,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11958,My House,Frederick,CO,,21335
29470,2014-04-04,2014,4,094,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11959,My House,Frederick,CO,,21335
29471,2014-04-04,2014,4,094,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11959,My House,Frederick,CO,,21335
29472,2014-04-04,2014,4,094,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11959,My House,Frederick,CO,,21335
29473,2014-04-02,2014,4,092,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11960,My House,Frederick,CO,,21335
29474,2014-04-02,2014,4,092,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11960,My House,Frederick,CO,,21335
29475,2014-04-02,2014,4,092,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11960,My House,Frederick,CO,,21335
29476,2014-04-05,2014,4,095,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11961,My House,Frederick,CO,,21335
29477,2014-04-05,2014,4,095,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11961,My House,Frederick,CO,,21335
29478,2014-04-05,2014,4,095,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11961,My House,Frederick,CO,,21335
29479,2014-04-06,2014,4,096,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11962,My House,Frederick,CO,,21335
29480,2014-04-06,2014,4,096,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11962,My House,Frederick,CO,,21335
29481,2014-04-06,2014,4,096,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11962,My House,Frederick,CO,,21335
29482,2014-04-07,2014,4,097,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11963,My House,Frederick,CO,,21335
29483,2014-04-07,2014,4,097,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11963,My House,Frederick,CO,,21335
29484,2014-04-07,2014,4,097,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11963,My House,Frederick,CO,,21335
29485,2014-04-08,2014,4,098,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11964,My House,Frederick,CO,,21335
29486,2014-04-08,2014,4,098,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11964,My House,Frederick,CO,,21335
29487,2014-04-08,2014,4,098,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11964,My House,Frederick,CO,,21335
29488,2014-04-09,2014,4,099,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11965,My House,Frederick,CO,,21335
29489,2014-04-09,2014,4,099,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11965,My House,Frederick,CO,,21335
29490,2014-04-09,2014,4,099,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11965,My House,Frederick,CO,,21335
29491,2014-04-16,2014,4,106,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11966,My House,Frederick,CO,,21335
29492,2014-04-16,2014,4,106,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11966,My House,Frederick,CO,,21335
29493,2014-04-16,2014,4,106,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11966,My House,Frederick,CO,,21335
29494,2014-04-10,2014,4,100,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11967,My House,Frederick,CO,,21335
29495,2014-04-10,2014,4,100,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11967,My House,Frederick,CO,,21335
29496,2014-04-10,2014,4,100,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11967,My House,Frederick,CO,,21335
29497,2014-04-11,2014,4,101,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11968,My House,Frederick,CO,,21335
29498,2014-04-11,2014,4,101,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11968,My House,Frederick,CO,,21335
29499,2014-04-11,2014,4,101,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11968,My House,Frederick,CO,,21335
29500,2014-04-12,2014,4,102,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11969,My House,Frederick,CO,,21335
29501,2014-04-12,2014,4,102,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11969,My House,Frederick,CO,,21335
29502,2014-04-12,2014,4,102,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11969,My House,Frederick,CO,,21335
29503,2014-04-13,2014,4,103,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11970,My House,Frederick,CO,,21335
29504,2014-04-13,2014,4,103,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11970,My House,Frederick,CO,,21335
29505,2014-04-13,2014,4,103,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11970,My House,Frederick,CO,,21335
29506,2014-04-14,2014,4,104,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11971,My House,Frederick,CO,,21335
29507,2014-04-14,2014,4,104,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11971,My House,Frederick,CO,,21335
29508,2014-04-14,2014,4,104,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11971,My House,Frederick,CO,,21335
29509,2014-04-15,2014,4,105,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,First Needles (None),510,Single,,40.09204,-105.00092,11972,My House,Frederick,CO,,21335
29510,2014-04-15,2014,4,105,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Pollen (Early),521,Single,,40.09204,-105.00092,11972,My House,Frederick,CO,,21335
29511,2014-04-15,2014,4,105,49,Douglas-fir,Pseudotsuga menziesii,occ_conifers,Fruit (None),530,Single,,40.09204,-105.00092,11972,My House,Frederick,CO,,21335
29512,2014-04-16,2014,4,106,45,Chokecherry,Prunus virginiana,deciduous,All Leaves Unfolded,42,Regular,,46.5881,-120.471,10774,Yakima Area Arboretum,Yakima,WA,,20695
29513,2014-04-12,2014,4,102,50,Eastern serviceberry,Amelanchier canadensis,deciduous,Bud Burst,40,Regular,,42.3588,-71.2505,7661,Forest Grove Reservation,Waltham,MA,,17433
29514,2014-04-01,2014,4,091,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Unfolding (Middle),112,Single,Buds are bursting!,36.018602,-78.92033,11973,Dogwood #8,Durham,NC,,21505
29515,2014-04-01,2014,4,091,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Changing Color (None),120,Single,Buds are bursting!,36.018602,-78.92033,11973,Dogwood #8,Durham,NC,,21505
29516,2014-04-01,2014,4,091,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Dropping (None),130,Single,Buds are bursting!,36.018602,-78.92033,11973,Dogwood #8,Durham,NC,,21505
29517,2014-04-01,2014,4,091,52,Flowering dogwood,Cornus florida,occ_trees,Flowers (Middle),142,Single,Buds are bursting!,36.018602,-78.92033,11973,Dogwood #8,Durham,NC,,21505
29518,2014-04-01,2014,4,091,52,Flowering dogwood,Cornus florida,occ_trees,Fruit (None),150,Single,Buds are bursting!,36.018602,-78.92033,11973,Dogwood #8,Durham,NC,,21505
29519,2014-04-16,2014,4,106,220,Sugar maple,Acer saccharum,deciduous,Bud Burst,40,Regular,"Most buds burst from its original bud, and they are all growing rapidly. ",42.6041,-71.5658,11469,Lawrence Academy 2,Groton,MA,,21652
29520,2014-04-16,2014,4,106,7794,Silver Maple,Acer saccharinum,deciduous,First Leaf,41,Regular,,38.0696,-78.7006,11175,"Henley ",Crozet,VA,,21129
29521,2014-04-16,2014,4,106,8076,yellow birch,Betula alleghaniensis,deciduous,All Leaves Unfolded,42,Regular,,38.0696,-78.7006,11175,"Henley ",Crozet,VA,,21129
29522,2014-03-27,2014,3,086,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Unfolding (None),110,Single,Bare Branches,41.999722,-87.655833,11974,Loyola University Chicago Lake Shore Campus,Chicago,IL,,21366
29523,2014-03-27,2014,3,086,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Changing Color (None),120,Single,Bare Branches,41.999722,-87.655833,11974,Loyola University Chicago Lake Shore Campus,Chicago,IL,,21366
29524,2014-03-27,2014,3,086,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Dropping (None),130,Single,Bare Branches,41.999722,-87.655833,11974,Loyola University Chicago Lake Shore Campus,Chicago,IL,,21366
29525,2014-03-27,2014,3,086,60,Red osier dogwood,Cornus sericea,occ_trees,Flowers (None),140,Single,Bare Branches,41.999722,-87.655833,11974,Loyola University Chicago Lake Shore Campus,Chicago,IL,,21366
29526,2014-03-27,2014,3,086,60,Red osier dogwood,Cornus sericea,occ_trees,Fruit (None),150,Single,Bare Branches,41.999722,-87.655833,11974,Loyola University Chicago Lake Shore Campus,Chicago,IL,,21366
29527,2014-04-01,2014,4,091,69,Forsythia,Forsythia xintermedia,deciduous,Full Flower,44,Regular,,38.9204,-77.2765,10652,Eudora neighborhood,Vienna,VA,,20564
29528,2014-04-07,2014,4,097,78,Eastern redbud,Cercis canadensis,deciduous,Bud Burst,40,Regular,,38.9204,-77.2765,10652,Eudora neighborhood,Vienna,VA,,20564
29529,2014-04-13,2014,4,103,78,Eastern redbud,Cercis canadensis,deciduous,Full Flower,44,Regular,,38.9204,-77.2765,10652,Eudora neighborhood,Vienna,VA,,20564
29530,2014-04-13,2014,4,103,50,Eastern serviceberry,Amelanchier canadensis,deciduous,Full Flower,44,Regular,,38.9204,-77.2765,10652,Eudora neighborhood,Vienna,VA,,20564
29531,2014-03-25,2014,3,084,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Unfolding (None),110,Single,,41.999751,-87.656307,11976,Red Osier Dogwood Week #1,Chicago,IL,,21455
29532,2014-03-25,2014,3,084,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Changing Color (None),120,Single,,41.999751,-87.656307,11976,Red Osier Dogwood Week #1,Chicago,IL,,21455
29533,2014-03-25,2014,3,084,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Dropping (None),130,Single,,41.999751,-87.656307,11976,Red Osier Dogwood Week #1,Chicago,IL,,21455
29534,2014-03-25,2014,3,084,60,Red osier dogwood,Cornus sericea,occ_trees,Flowers (None),140,Single,,41.999751,-87.656307,11976,Red Osier Dogwood Week #1,Chicago,IL,,21455
29535,2014-03-25,2014,3,084,60,Red osier dogwood,Cornus sericea,occ_trees,Fruit (None),150,Single,,41.999751,-87.656307,11976,Red Osier Dogwood Week #1,Chicago,IL,,21455
29536,2014-04-16,2014,4,106,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Unfolding (None),110,Single,"The tree appears to be exactly the same as last week; there is no new growth. Chicago weather has warmed up. Temperatures will reach the 60’s (Fahrenheit) this week… this may advance growth. Rain is also in forecast later in week. ",41.999751,-87.656264,11977,Red Osier Dogwood Week #2,Chicago,IL,,21455
29537,2014-04-16,2014,4,106,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Changing Color (None),120,Single,"The tree appears to be exactly the same as last week; there is no new growth. Chicago weather has warmed up. Temperatures will reach the 60’s (Fahrenheit) this week… this may advance growth. Rain is also in forecast later in week. ",41.999751,-87.656264,11977,Red Osier Dogwood Week #2,Chicago,IL,,21455
29538,2014-04-16,2014,4,106,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Dropping (None),130,Single,"The tree appears to be exactly the same as last week; there is no new growth. Chicago weather has warmed up. Temperatures will reach the 60’s (Fahrenheit) this week… this may advance growth. Rain is also in forecast later in week. ",41.999751,-87.656264,11977,Red Osier Dogwood Week #2,Chicago,IL,,21455
29539,2014-04-16,2014,4,106,60,Red osier dogwood,Cornus sericea,occ_trees,Flowers (None),140,Single,"The tree appears to be exactly the same as last week; there is no new growth. Chicago weather has warmed up. Temperatures will reach the 60’s (Fahrenheit) this week… this may advance growth. Rain is also in forecast later in week. ",41.999751,-87.656264,11977,Red Osier Dogwood Week #2,Chicago,IL,,21455
29540,2014-04-16,2014,4,106,60,Red osier dogwood,Cornus sericea,occ_trees,Fruit (None),150,Single,"The tree appears to be exactly the same as last week; there is no new growth. Chicago weather has warmed up. Temperatures will reach the 60’s (Fahrenheit) this week… this may advance growth. Rain is also in forecast later in week. ",41.999751,-87.656264,11977,Red Osier Dogwood Week #2,Chicago,IL,,21455
29541,2014-04-08,2014,4,098,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Unfolding (None),110,Single,,41.999719,-87.656221,11978,Red Osier Dogwood Week #3,Chicago,IL,,21455
29542,2014-04-08,2014,4,098,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Changing Color (None),120,Single,,41.999719,-87.656221,11978,Red Osier Dogwood Week #3,Chicago,IL,,21455
29543,2014-04-08,2014,4,098,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Dropping (None),130,Single,,41.999719,-87.656221,11978,Red Osier Dogwood Week #3,Chicago,IL,,21455
29544,2014-04-08,2014,4,098,60,Red osier dogwood,Cornus sericea,occ_trees,Flowers (None),140,Single,,41.999719,-87.656221,11978,Red Osier Dogwood Week #3,Chicago,IL,,21455
29545,2014-04-08,2014,4,098,60,Red osier dogwood,Cornus sericea,occ_trees,Fruit (None),150,Single,,41.999719,-87.656221,11978,Red Osier Dogwood Week #3,Chicago,IL,,21455
29546,2014-04-15,2014,4,105,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Unfolding (None),110,Single,"There has been no new growth even into week 4. It snowed yesterday, so this does not help the chances of growth either. The recent cold temperatures have not allowed the plant to develop any further. ",41.999719,-87.656221,11979,Red Osier Dogwood Week #4,Chicago,IL,,21455
29547,2014-04-15,2014,4,105,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Changing Color (None),120,Single,"There has been no new growth even into week 4. It snowed yesterday, so this does not help the chances of growth either. The recent cold temperatures have not allowed the plant to develop any further. ",41.999719,-87.656221,11979,Red Osier Dogwood Week #4,Chicago,IL,,21455
29548,2014-04-15,2014,4,105,60,Red osier dogwood,Cornus sericea,occ_trees,Leaves Dropping (None),130,Single,"There has been no new growth even into week 4. It snowed yesterday, so this does not help the chances of growth either. The recent cold temperatures have not allowed the plant to develop any further. ",41.999719,-87.656221,11979,Red Osier Dogwood Week #4,Chicago,IL,,21455
29549,2014-04-15,2014,4,105,60,Red osier dogwood,Cornus sericea,occ_trees,Flowers (None),140,Single,"There has been no new growth even into week 4. It snowed yesterday, so this does not help the chances of growth either. The recent cold temperatures have not allowed the plant to develop any further. ",41.999719,-87.656221,11979,Red Osier Dogwood Week #4,Chicago,IL,,21455
29550,2014-04-15,2014,4,105,60,Red osier dogwood,Cornus sericea,occ_trees,Fruit (None),150,Single,"There has been no new growth even into week 4. It snowed yesterday, so this does not help the chances of growth either. The recent cold temperatures have not allowed the plant to develop any further. ",41.999719,-87.656221,11979,Red Osier Dogwood Week #4,Chicago,IL,,21455
29551,2014-04-13,2014,4,103,59,Red maple,Acer rubrum,deciduous,Bud Burst,40,Regular,"All three happened the same day after a sunny day in the 70's.",42.936313,-73.797367,11981,Washington Avenue,Round Lake,NY,,20917
29552,2014-04-13,2014,4,103,59,Red maple,Acer rubrum,deciduous,First Flower,43,Regular,"All three happened the same day after a sunny day in the 70's.",42.936313,-73.797367,11981,Washington Avenue,Round Lake,NY,,20917
29553,2014-04-13,2014,4,103,59,Red maple,Acer rubrum,deciduous,Full Flower,44,Regular,"All three happened the same day after a sunny day in the 70's.",42.936313,-73.797367,11981,Washington Avenue,Round Lake,NY,,20917
29554,2014-04-14,2014,4,104,255,Bloodroot,Sanguinaria canadensis,wildflowers_herbs,First Flower,21,Regular,,42.92883,-73.794003,11982,Bike Path Creek,Round Lake,NY,,20917
29555,2014-04-14,2014,4,104,255,Bloodroot,Sanguinaria canadensis,wildflowers_herbs,Full Flower,22,Regular,,42.92883,-73.794003,11982,Bike Path Creek,Round Lake,NY,,20917
29556,2014-04-16,2014,4,106,33,Dogtooth violet,Erythronium americanum,wildflowers_herbs,First Flower,21,Regular,,41.744,-74.086,7312,9 Tricor,New Paltz,NY,,16715
29557,2014-04-17,2014,4,107,8097,"indian rose ",Rosa indica,occ_wildflowers,Flowers (Middle),212,Single,,29.859735,-95.601501,11983,"my home ",houston,TX,,21939
29558,2014-04-17,2014,4,107,8097,"indian rose ",Rosa indica,occ_wildflowers,Fruit (None),220,Single,,29.859735,-95.601501,11983,"my home ",houston,TX,,21939
29559,2014-04-16,2014,4,106,78,Eastern redbud,Cercis canadensis,deciduous,Bud Burst,40,Regular,,41.744,-74.086,7312,9 Tricor,New Paltz,NY,,16715
29560,2014-04-23,2014,4,113,33,Dogtooth violet,Erythronium americanum,wildflowers_herbs,Full Flower,22,Regular,,41.744,-74.086,7312,9 Tricor,New Paltz,NY,,16715
29561,2014-04-17,2014,4,107,218,White oak,Quercus alba,occ_trees,Leaves Unfolding (None),110,Single,,29.895201,-95.540907,11984,Jersey Village,Houston,TX,,21906
29562,2014-04-17,2014,4,107,218,White oak,Quercus alba,occ_trees,Leaves Changing Color (None),120,Single,,29.895201,-95.540907,11984,Jersey Village,Houston,TX,,21906
29563,2014-04-17,2014,4,107,218,White oak,Quercus alba,occ_trees,Leaves Dropping (Late),133,Single,,29.895201,-95.540907,11984,Jersey Village,Houston,TX,,21906
29564,2014-04-17,2014,4,107,218,White oak,Quercus alba,occ_trees,Flowers (None),140,Single,,29.895201,-95.540907,11984,Jersey Village,Houston,TX,,21906
29565,2014-04-17,2014,4,107,218,White oak,Quercus alba,occ_trees,Fruit (None),150,Single,,29.895201,-95.540907,11984,Jersey Village,Houston,TX,,21906
29566,2014-04-14,2014,4,104,240,American holly,Ilex opaca,occ_evergreens,Flowers (None),410,Single,,29.895722,-95.536551,11985,Jersey Village,Houston,TX,,21906
29567,2014-04-14,2014,4,104,240,American holly,Ilex opaca,occ_evergreens,Fruit (Middle),422,Single,,29.895722,-95.536551,11985,Jersey Village,Houston,TX,,21906
29568,2014-04-14,2014,4,104,69,Forsythia,Forsythia xintermedia,deciduous,First Flower,43,Regular,,40.87118,-74.4993,11986,Green Home,Denville,NJ,,21956
29569,2014-04-16,2014,4,106,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Unfolding (Early),111,Single,,37.309125,-86.044664,11987,Yard,Cub Run,KY,,21759
29570,2014-04-16,2014,4,106,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Changing Color (None),120,Single,,37.309125,-86.044664,11987,Yard,Cub Run,KY,,21759
29571,2014-04-16,2014,4,106,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Dropping (None),130,Single,,37.309125,-86.044664,11987,Yard,Cub Run,KY,,21759
29572,2014-04-16,2014,4,106,52,Flowering dogwood,Cornus florida,occ_trees,Flowers (Early),141,Single,,37.309125,-86.044664,11987,Yard,Cub Run,KY,,21759
29573,2014-04-16,2014,4,106,52,Flowering dogwood,Cornus florida,occ_trees,Fruit (None),150,Single,,37.309125,-86.044664,11987,Yard,Cub Run,KY,,21759
29574,2014-04-16,2014,4,106,6,Eastern redcedar,Juniperus virginiana,conifers,First Needles,61,Regular,,38.4919,-77.5627,10805,Davis Corner,Stafford,VA,,20795
29575,2014-03-22,2014,3,081,6,Eastern redcedar,Juniperus virginiana,conifers,Full Pollen,63,Regular,,38.4919,-77.5627,10805,Davis Corner,Stafford,VA,,20795
29576,2014-04-15,2014,4,105,66,Common dandelion,Taraxacum officinale,wildflowers_herbs,First Flower,21,Regular,,38.4919,-77.5627,10805,Davis Corner,Stafford,VA,,20795
29577,2014-04-16,2014,4,106,21,Jack in the pulpit,Arisaema triphyllum,wildflowers_herbs,First Flower,21,Regular,,38.4919,-77.5627,10805,Davis Corner,Stafford,VA,,20795
29578,2014-04-17,2014,4,107,70,Common lilac,Syringa vulgaris,deciduous,First Leaf,41,Regular,,41.271,-76.1157,7669,Hunlock,Hunlock Creek,PA,,17514
29579,2014-04-09,2014,4,099,70,Common lilac,Syringa vulgaris,deciduous,Bud Burst,40,Regular,other lilacs around the yard 3-4 days later,42.7618,-77.6527,11442,"Federal Road, Conesus",Conesus,NY,,21508
29580,2014-04-13,2014,4,103,86,American elm,Ulmus americana,deciduous,Bud Burst,40,Regular,,40.4172,-80.1698,11102,Pittsburgh Botanic Garden,Pittsburgh,PA,,21217
29581,2014-04-13,2014,4,103,44,Boxelder,Acer negundo,deciduous,Bud Burst,40,Regular,,40.4172,-80.1698,11102,Pittsburgh Botanic Garden,Pittsburgh,PA,,21217
29582,2014-04-13,2014,4,103,50,Eastern serviceberry,Amelanchier canadensis,deciduous,Bud Burst,40,Regular,,40.4172,-80.1698,11102,Pittsburgh Botanic Garden,Pittsburgh,PA,,21217
29583,2014-04-06,2014,4,096,52,Flowering dogwood,Cornus florida,deciduous,Bud Burst,40,Regular,,40.4172,-80.1698,11102,Pittsburgh Botanic Garden,Pittsburgh,PA,,21217
29584,2014-04-13,2014,4,103,45,Chokecherry,Prunus virginiana,deciduous,First Leaf,41,Regular,,39.887,-105.067,2154,Butterfly Pavilion,Westminster,CO,This location has a combination of irrigated garden and unwatered nature trail.,3515
29585,2014-04-17,2014,4,107,45,Chokecherry,Prunus virginiana,deciduous,Full Flower,44,Regular,,46.5881,-120.471,10774,Yakima Area Arboretum,Yakima,WA,,20695
29586,2014-04-17,2014,4,107,60,Red osier dogwood,Cornus sericea,deciduous,All Leaves Unfolded,42,Regular,,46.5881,-120.471,10774,Yakima Area Arboretum,Yakima,WA,,20695
29587,2014-04-17,2014,4,107,8039,White Ash,Fraxinus americana,deciduous,Bud Burst,40,Regular,,39.168267,-86.509674,11801,Union St.,Bloomington,IN,,21847
29588,2014-04-17,2014,4,107,222,American beech,Fagus grandifolia,deciduous,Bud Burst,40,Regular,,39.168234,-86.508343,11802,Beech Hall,Bloomington,IN,,21847
29589,2014-04-16,2014,4,106,59,Red maple,Acer rubrum,deciduous,Full Flower,44,Regular,,41.271,-76.1157,7669,Hunlock,Hunlock Creek,PA,,17514
29590,2014-04-01,2014,4,091,186,Cherry (other),Prunus sp,occ_trees,Leaves Unfolding (Middle),112,Single,,37.764133,-87.177179,11989,Eco Lab,Owensboro,KY,,21454
29591,2014-04-01,2014,4,091,186,Cherry (other),Prunus sp,occ_trees,Leaves Changing Color (Middle),122,Single,,37.764133,-87.177179,11989,Eco Lab,Owensboro,KY,,21454
29592,2014-04-01,2014,4,091,186,Cherry (other),Prunus sp,occ_trees,Leaves Dropping (None),130,Single,,37.764133,-87.177179,11989,Eco Lab,Owensboro,KY,,21454
29593,2014-04-01,2014,4,091,186,Cherry (other),Prunus sp,occ_trees,Flowers (Middle),142,Single,,37.764133,-87.177179,11989,Eco Lab,Owensboro,KY,,21454
29594,2014-04-01,2014,4,091,186,Cherry (other),Prunus sp,occ_trees,Fruit (None),150,Single,,37.764133,-87.177179,11989,Eco Lab,Owensboro,KY,,21454
29595,2014-04-17,2014,4,107,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Unfolding (Middle),112,Single,,37.29231,-85.95089,11990,flowering dogwood,Munfordville,KY,,21755
29596,2014-04-17,2014,4,107,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Changing Color (Early),121,Single,,37.29231,-85.95089,11990,flowering dogwood,Munfordville,KY,,21755
29597,2014-04-17,2014,4,107,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Dropping (None),130,Single,,37.29231,-85.95089,11990,flowering dogwood,Munfordville,KY,,21755
29598,2014-04-17,2014,4,107,52,Flowering dogwood,Cornus florida,occ_trees,Flowers (Early),141,Single,,37.29231,-85.95089,11990,flowering dogwood,Munfordville,KY,,21755
29599,2014-04-17,2014,4,107,52,Flowering dogwood,Cornus florida,occ_trees,Fruit (None),150,Single,,37.29231,-85.95089,11990,flowering dogwood,Munfordville,KY,,21755
29600,2014-04-18,2014,4,108,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Unfolding (None),110,Single,,37.37912,-86.06007,11991,behind the house,Munfordville,KY,,21754
29601,2014-04-18,2014,4,108,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Changing Color (None),120,Single,,37.37912,-86.06007,11991,behind the house,Munfordville,KY,,21754
29602,2014-04-18,2014,4,108,52,Flowering dogwood,Cornus florida,occ_trees,Leaves Dropping (None),130,Single,,37.37912,-86.06007,11991,behind the house,Munfordville,KY,,21754
29603,2014-04-18,2014,4,108,52,Flowering dogwood,Cornus florida,occ_trees,Flowers (Early),141,Single,,37.37912,-86.06007,11991,behind the house,Munfordville,KY,,21754
